つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
田中亜弥	AyaTanaka81	早稲田大学在学中から5年間路上ライブやライブハウスを中心に活動してました！ 舞台: 10/23〜26「See you Again!」@シアターサンモール、11/11「MOTHER〜特攻の母 鳥濱トメ物語〜」鎌倉公演に出演予定。 http://t.co/YYr3XxHmIT
富田麻帆	maho_tomita6261	サンズエンタテインメント所属 富田麻帆です。 【出演情報】 ⚫︎11月『美川憲一のおだまり劇場！』@シアター1010 ●ニコジョッキー『富田といえば◯◯！』月1放送
西野恭之介	choplin_nishino	チョップリン西野です。Facebookも是非。
小林至	itaru63	プロ野球球団にいます
伊原剛志	ihara184	二足のわらじ。 ①俳優 ②経営者 鉄板焼き・お好み焼きごっつい 東京・LA
吉野紗香	sayakayoshino	[出演オファー/お問い合わせ先]
南まりか	marica_minami	Boa tarde♪♪パチンコ・パチスロアイドル南まりかですサンズエンタテインメント所属。サッカーＪ２のザスパ草津を応援中！！よろしくちゃん(*Pμωμq)
赤崎千夏	R172	新人声優の赤崎千夏です！明るく元気にをモットーに☆
藤田由美子	ojojo1107honeey	声優です。女優です。コメディエンヌで、ホルモンヌです♪♪ニコ生番組『藤田由美子の特殊技能開発課っ！』毎週木曜日22:30〜、Ustream『義太夫・由美子のUstラヂオ』第1月曜日20:00〜絶賛生放送中☆よろしくね！
松元恵	matsugen	賢プロダクション所属にさせて頂き声のお仕事をしております、愛称「まつげん」というモノです。RTはどうぞご自由に、ですが描き下ろし画アイコンとつぶやきの二次使用はお断りしております。返信は出来る限り。お声掛け、フォロー、ありがとうございます。今後ともどうぞ宜しくお願い致します｡2011年まで松元恵名義で活動しておりました
郷田ほづみ	HOZMIX	俳優・声優・舞台演出・音響監督・駒澤女子大学講師、湘南アクターズスクール主宰。地元の俳優たちと「劇団湘南テアトロ☆デラルテ」を結成。毎月平塚のアトリエにて公演してます。 人生、コメディーと音楽とイタ車。湘南アルファロメオクラブのメンバーとたまに箱根・伊豆の峠に出没。元怪物ランド。
佐藤雄大	yudai1023	声優とかやってます。色々と身軽になった(なりすぎた？)ので、自由気ままに呟いてみます(*'▽'*)
鈴木裕斗	yuto_suzuki	皆さん、ぎょす☆鈴木裕斗です(^_^)v  皆さんとの交流の場として、日々のことを楽しくまったりつぶやいていけたらなぁと思っております♪【お手紙の送り先】 〒104-0061　東京都中央区銀座四丁目12番15号　歌舞伎座タワー15F　株式会社MAGES．amuleto
星野貴紀	Shockhearts777	星野貴紀です。声優したり、役者やったり。ＴＣＧ界のキングしたり神したり。2013年公開マン・オブ・スティールでスーパーマンを演じさせていただきました。そして2014年カジキになりました。
小西克幸	KCONIQ	ひっそりと活動中のゲーム好きな人。めんずですら。
浦えりか	erika_ura	風男塾の青です。浦正の垢は @uramasa62 です。アイドルとプロレスが好物＼(^o^)／エナジードリンクとか駅伝も好きです(OvO)
奥寺康彦	YasuhikoOKUDERA	横浜FC・GM 奥寺康彦です。ドイツブンデスリーガ時代は、1FCケルン、ヘルタ・ベルリン、ベルダー・ブレーメンに所属していました。みなさんよろしくお願いします。奥寺康彦オフィシャルブログ→http://t.co/XaONPDWotD
佐藤ゆかり	SatoYukari	自民党参議院議員（全国比例）。経済学博士。参議院消費者問題に関する特別委員会 委員長。安倍内閣前経産大臣政務官。前自民党遊説局長、AIJ問題PT及び円高空洞化対策PT事務局。参議院財政金融委員会前筆頭理事。自民党SC前経済財政金融担当副大臣。H12中央大学大学院国際会計研究科客員教授。著書に『強い円、強い日本経済』等。
大森貴弘	t0mori	戦う男（眠気と）。主成分はMac/iPhone/トーベ・ヤンソン/RCサクセション/ニーナ・シモン/エレファントカシマシ/ジョン・カサヴェテス/コーエン兄弟/クリント・イーストウッド/高畑勲/アルファロメオ/海水/麦酒/蕎麦…辺りで出来ております。映画星取り垢は@t0more。フォロー、リムーブご自由に。
TERU	TE_RUR_ET	GLAYデビュー２０周年イヤースタート！今年は、日本中を巻き込んで、お祭り騒ぎにしたいと思います！
森本学	hawks32morimoto	元福岡ソフトバンクホークスの森本学(まなぶじゃないよ！さとるだよ‼)です。ただいま第２の人生を勉強しながら模索中！
山田與志	cowcow44cow	Eテレキミなら何つくる？書籍『にっこり写真のレッスン』
月城まおら	maro0716	はじめまして
矢島愛美	aimin411	★2012.12〜2013.5シンガポールでダンサーをしたのち、シンガポール人ダーリンと出会う♪2014.7.7入籍‼︎国際結婚しました(o^^o)
西野翔	showtaro3	日本のAV女優、元恵比寿マスカッツ、そして国民の人妻西野翔です。モンハンと白イルカが大好きなぬるオタだよ！よろしくね( ´ ▽ ` )ﾉぬるぬる 大家好( ´ ▽ ` )ﾉ 我是 西野翔！请多多关照♥ YouTubeアカウントはこちら http://t.co/UVSbxqqe7S
佐山愛	AiSayama	ティーパワーズ所属、佐山愛です♥️  Hi! It's Ai Sayama☆
堀口奈津美	BRWhoriguchi723	ただいま☆堀口です(・∀・)BRW108総選挙の期間中に期間限定でtwitter復活します(^∀^)ノ今まで以上にゆるくのんびりつぶやいて行こうと思うのでよろしくデス(*´ω`*)
マイキー	OHMikey1203	ぼく、マイキー。アメリカからひっこしてきた、しょうがくせいだよ。だいこうぶつは「いくらのおすし」と「シュークリーム」。ここは「オフィシャルbot」らしいんだけど、botってなんだろ？とにかく、ぼく、つぶやいちゃうよ。みんな、よろしくね。
竹内香苗	tkanae	
亜樹直	agitadashi	マンガボックス（https://t.co/vPCv9bY1TE）編集長 。金田一少年の事件簿、探偵学園Ｑ、エリアの騎士、神の雫、ブラッディマンデイ、サイコメトラー、ゲットバッカーズなどの漫画の原作者でビット・トレーダー、陽の鳥などの小説も。過去ログhttp://t.co/q6zDnNf5QV
ハチミツ二郎	tokyodynamite	東京ダイナマイト ハチミツ二郎　芸人
浜田ブリトニー	BRI_HA	パネェ！ギャル漫画家の浜田ブリトニーっス☆(株)PIECE EIGHTという会社を立ち上げ、商業誌で連載＆企業漫画、そして「営業がイヤだ！と思ったら読む本」というビジネス書を出版☆みんな読んでねっ
多田あさみ	asami_tada	グラドルらしきもの。リプやRTは気まぐれです。
石橋尊久	ishibashitaka	よしもと所属芸人。イシバシハザマの石橋です。2014年12月21日19時開演！ルミネ単独ライブ 生き物が大好きです。ダイオウグソクムシ！イタリアンはほとんど作れます。料理全般得意です。定時制高校出身。 娘が1人います。ベビーマッサージ講師、プリネイタル(妊産婦)マッサージ講師、ベビー、キッズヨガ講師の資格あり。
TAKAみちのく	takam777	KAIENTAIDOJO代表兼プロレスラー、鈴木軍、千葉YEGメンバー！趣味はパチスロ！KAIENTAI DOJO公式lineスタンプhttp://t.co/WUfoenTho2意見、質問、チケット問い合わせtakam69@yahoo.co.jplineID takam777まで気軽にどーぞ！
吉川典雄	norionamaran	STVラジオの平日12時から6時間の生放送『のりおとよしこのどさんこラジオ』のパーソナリティをやってます。ラジオ好き・音楽好き・阪神好きの人、特によろしく！
曾我泰久	sogayasuhisa	ザ・グッバイなんかもやってます
平山誠	hirayamamakoto	参議院議員。2009年8月30日参議院全国区比例繰上げ当選。28歳で広告・TV企画制作会社を設立、2003年政策機構チームニッポン設立、2005年新党日本結成に参加。2011年新党大地・真民主結成に参加、参議院会長を務める。衆議院選挙後「みどりの風」立党に協力、国対委員長、環境委員、日本グラフィックデザイン協会員。
谷本貴義	tanimoto_tak	ドラゴンボール改、金色のガッシュベル！！、ビーストサーガ、獣拳戦隊ゲキレンジャー、ドラゴンボールヒーローズ、などアニメ・ゲーム主題歌を歌う。歌手・作詞・作曲・編曲家。 薄桜鬼「十六夜涙」、DS薄桜鬼主題歌多数作曲・編曲しています。駅発車メロディー（副都心線・丸の内線等）、トッキュウジャーED（Project.R）
坂野尚子	naokodoibanno	フジテレビアナウンサー/特派員→外資経営コンサルタント→キャリアカウンセラー、ノンストレス創業。ささやかな幸せを提供したい！Founded NonStress in 1996 and run Nail Quick、Nail Parfait, SPANAIL. Columbia MBA
田中雅美	masamiswim	元スイマー。
原田まりる	HaraDA_MariRU	哲学ナビゲーター:原田まりるです。 10月21日サンマーク出版より、経験から哲学者の教えを超訳した著者「私の体を鞭打つ言葉」を発売！ 都内で「哲学カフェ」開催中 ＊個人カウンセリング、企業向け研修も行なっています。 http://t.co/Lo4gARHU0k
松葉祥子	mtbsck	不器用だけど素直にいくよ。適当と毒。役者やったりしてます。カラーキューブセラピスト。神社と天然石、ビッグバンセオリーとSUITS好き。
玉城ちはる	chiharunba	シンガーソングライター・書籍エッセイ集「風になれば」発売中。ライブ情報ツイッターhttp://t.co/bSTy4jU3GN SBSラジオ、RCCラジオにてメインパーソナリティーを務めるラジオ番組「玉城ちはるの愛されたいの」毎週日曜日放送中 http://t.co/s9OGzHSPzo
加藤昌史	KatohMasafumi	演劇集団キャラメルボックス創立メンバー・製作総指揮・音楽監督・社長・前説・ニコ生◆今発売中の「ラーメンWalker」に出てます◆著作『拍手という花束のために』他◆好き過ぎてラーメンWalker百麺人に◆ももクロは赤めな箱押し◆ソラヨミマスターフェニックス◆Mac歴20年◆三児の父
alan	alan725	alanです！音楽には国境、民族、言葉の差はないです。心を込めて愛と平和の曲届けたいです。music is my life!
